store_id,State,city,place_name,store_location,address,phone,redirectlink,direction,Hours_Monday,Hours_Tuesday,Hours_Wednesday,Hours_Thursday,Hours_Friday,Hours_Saturday,Hours_Sunday,custom_store_facilities,place_id,google_review_rating,google_review_count,latitude,longitude,store_id
3,Maharashtra,Mumbai,Pressto India: Laundry & Dry Cleaning ,Malad,"Shop No. 1A/03, Ground floor, Plot of BLASÉ B. CORREA,Link Road, Near Chincholi Signal, Malad (West),Mumbai,MH,400064,IN",7208972753,,https://maps.app.goo.gl/p36qQLncYdSVCzLT9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.7,35,19.1793664,72.8365031,
1,Delhi NCR,Delhi,Pressto India: Laundry & Dry Cleaning ,Punjabi Bagh,"unit no 1, building No. 47 North Avenue Road,ground floor, next to modern bazaar, Punjabi Bagh,Delhi,DL,110026,IN",7208972765,,https://maps.app.goo.gl/1NwGVZ9ikaoBwftHA,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,4,29,28.6661898,77.1248927,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Lower Parel,"243/Center Point Condominium, Ground Floor,NM Joshi Marg,Mumbai,MH,400013,IN",2261797777,,https://maps.app.goo.gl/F6cwJb3rXeJ33SbP7,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-15:00,Closed,,,4.3,40,18.9929903,72.8320237,
3,Maharashtra,Mumbai,Pressto India: Laundry & Dry Cleaning ,Santacruz,"Shop No.C/1, Plot No. 64B, Saryu Premises,Linking Road, Next to ICICI Bank,Mumbai,MH,400054,IN",7208972734,,https://maps.app.goo.gl/Nu8ZrTdq1R1SRMao9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,4.4,10,19.0760791,72.7994905,
1,Delhi NCR,New Delhi,Pressto India: Laundry & Dry Cleaning ,Vasant Vihar,"C-4, Main Market,Cross Road 7,New Delhi,DL,110057,IN",7208972760,,https://maps.app.goo.gl/FtywFDLaBXUh8TwJ8,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,4.1,31,28.5680157,77.1559386,
2,Karnataka,Bengaluru,Pressto India: Laundry & Dry Cleaning,Whitefield,"209,Saranya Square,,Near Laughing Waters,Ramagondanahalli,Whitefield,Bangalore,KA,560066,IN",7208972738,,https://maps.app.goo.gl/YwnrRebRvEoceDV29,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,4.5,41,12.957589,77.7351332,
1,Delhi NCR,New Delhi,Pressto India: Laundry & Dry Cleaning,Greater Kailash II,"S-349,Block S, Greater Kailash II, Greater Kailash,New Delhi,DL,110048,IN",7208972764,,https://maps.app.goo.gl/c2FniBp2x3ZfS6Te9,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,3.7,16,28.5402729,77.2308426,
1,Delhi NCR,Delhi,COBBLER by pressto: Shoe & Bag Care,Defence Colony,"A/285, Bhishma Pitamah Marg, opp. Kotla Mubarakpur, Road,Defence Colony, New Delhi,Delhi,DL,110024,IN",1149856952,,https://maps.app.goo.gl/E8yy9ND1ZpZj99H26,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,4.7,20,28.573415,77.2261321,2.4197E+018
2,Karnataka,Koramangala,Pressto India: Laundry & Dry Cleaning,Koramangala,"Ground Floor, Shop No. 1, Safa Corner, No. 43,,Jaksandra Main Road, 1st Block,Koramangala.,Koramangala,KA,560034,IN",7208972773,,https://maps.app.goo.gl/VvPsegykndKt3yr58,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.7,75,12.9292651,77.631804,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Powai,"Delphi Business Park,B Wing,Hiranandani Business Park,Powai,Mumbai,MH,400076,IN",9152155150,,https://maps.app.goo.gl/2fn6ran6P38ERacn9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,4,94,19.1204888,72.9066936,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Juhu Supreme,"Shop No 1, Juhu Supreme Shopping Center,A, 9, Cross Road Number 8,Mumbai,MH,400049,IN",7208972735,,https://maps.app.goo.gl/TaPNtAmNghC6S8qo7,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.8,30,19.1093144,72.8278398,11
3,Maharashtra,Navi Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Kharghar,"Shop No.34, on the Ground & First Floor,,Patel Heritage CHSL, Sector 7, Plot No.15 & 17, Kharghar, Navi Mumbai,Navi Mumbai,MH,410210,IN",7208972758,,https://maps.app.goo.gl/SXEgKy6aweQyxueh6,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.8,63,19.034838,73.0626286,
3,Maharashtra,Mumbai,COBBLER by pressto - Shoes & Bag Care,Colaba,"Shop No.2, President House, C S No - 72, Shahid Bhagat Singh Road,Opp Sassoon Dock, Colaba,Mumbai,MH,400005,IN",9004297966,,https://maps.app.goo.gl/4jPPyVu3onnGNVmg6,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,2.7,7,18.9169155,72.8241745,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Versova,"Shop No.7-8, Atlantic Apartment,JP Road,Mumbai,MH,400061,IN",7208972736,,https://maps.app.goo.gl/jhNLRTU7JaAeX7op7,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.7,38,19.0958911,72.7756125,
2,Karnataka,Bengaluru,COBBLER by pressto: Shoe & Bag Care ,Whitefield,"209,Saranya Square,Next to Laughing Waters,Ramagondanahalli,Whitefield,Bangalore,KA,560066,IN",7208972739,,https://maps.app.goo.gl/2BFAk3u8mHMUHd3G6,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.4,51,12.957384,77.734421,
3,Maharashtra,Thane,Pressto Drycleaning & Laundry Pvt. Ltd,Thane,"Shop No. 4,Ground floor,Block 2,,Emerald Plaza, Hiranandani Meadows,,Thane,MH,400610,IN",7208972756,,https://maps.app.goo.gl/GmjsNqWUSKij7MPj9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.7,99,16.0759914,72.7114062,
1,Delhi NCR,New Delhi,Pressto Drycleaning & Laundry Pvt. Ltd,Defence Colony,"A-285, Bhishma Pitamah Marg,Opp Kotla Mubarakpur Rd, Defence Colony,New Delhi,DL,110024,IN",7208972759,,https://maps.app.goo.gl/czmtNZLU7S65eyYv7,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,4.1,72,28.5734148,77.2261319,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Colaba,"Shop No.2, President House, C S No - 72, Shahid Bhagat Singh Road,Opp Sassoon Dock, Colaba,Mumbai,MH,400005,IN",7208972740,,https://maps.app.goo.gl/bzicXREMxmcrVGne9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.5,39,18.9144935,72.821746,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Kandivali,"Ever shine Millennium Paradise , Next to Dominos Opp Nature’s Basket,Thakur Village, Kandivali East,Mumbai,MH,400101,IN",7208972755,,https://maps.app.goo.gl/uYQRKa7Eo1dJCy4A9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.7,70,19.212095,72.8707796,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Sion,"Shop No 2, Ground Floor, Building No 3,Atur Park, Shiv Parvati CHS, Sion Trombay Road, Near RK Studio,Mumbai,MH,400071,IN",7208972747,,https://maps.app.goo.gl/GexwD2w4yVyLPbS96,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.7,53,16.0515635,72.6269007,
1,Delhi NCR,New Delhi,Pressto Drycleaning & Laundry Pvt. Ltd,Greater Kailash I,"C-44, Greater Kailash 1 Road,,New Delhi,DL,110048,IN",9167188355,,https://maps.app.goo.gl/ku5dmVfDeYzvGc6b8,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,3.8,25,28.5402729,77.2320459,
1,Delhi NCR,Gurugram,Pressto India: Laundry & Dry Cleaning ,The Hibiscus,"Shop No. 3 & 4, The Hibiscus Condominium Complex,Hibiscus Avenue Sector 50,Gurugram,HR,122002,IN",1244009347,,https://maps.app.goo.gl/9xHxMUfVSu8XpE356,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,4.6,9,28.4239553,77.0573553,1.34723E+019
1,Delhi NCR,Gurgaon,Pressto Drycleaning & Laundry Pvt. Ltd,Bestech,"Shop No. ATM 1, ATM 2, G-6 & LG-06 Bestech Centre Point,Sushant Lok 1, A Block, Gurgaon,Gurgaon,HR,122002,IN",7208972747,,https://maps.app.goo.gl/vMCeGY93UNBBWbrv5,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,4.3,26,28.4684667,77.0719288,7.11481E+018
1,Delhi NCR,New Delhi,Pressto Drycleaning & Laundry Pvt. Ltd,Saket,"E-148 market,,New Delhi,DL,110017,IN",7208972766,,https://maps.app.goo.gl/Z1JzEbFL94cAbLZN6,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,3.8,28,28.522543,77.1372742,
1,Delhi NCR,Gurugram,Pressto Drycleaning & Laundry Pvt. Ltd,Golf Course Road,"Central Plaza Mall,G-14, Golf Course Road,Gurugram,HR,122003,IN",7208972768,,https://maps.app.goo.gl/xUsSXwyR2GtkJZpw9,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,3.7,52,28.4431644,77.0982868,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Juhu Kalaniketan,"Shop No 7, kalaniketan,Vaishali Shopping Centre,Mumbai,MH,400049,IN",8657070189,,https://maps.app.goo.gl/F5rYwsKUu2EaTXvm6,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,4,12,19.1034769,72.828668,
1,Delhi NCR,New Delhi,Pressto Drycleaning & Laundry Pvt. Ltd,New Friends Colony,"C 658,Bharat Nagar, New Friends Colony,New Delhi,DL,110065,IN",7208972761,,https://maps.app.goo.gl/w5MC9mwNmeaMcZe78,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,4.2,18,28.5679651,77.2664548,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Lalbaug,"Center Point Building,Doctor Baba Saheb Ambedkar Road,Mumbai,MH,400012,IN",7208972745,,https://maps.app.goo.gl/6vVcBjVqYkJ4uCxH8,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,4.3,40,19.0033587,72.8227456,
2,Karnataka,Bengaluru,COBBLER by pressto: Shoe & Bag Care,Indiranagar,"326, 80 Feet Road,The ICON HAL 3rd Stage, Colony New 515, New Tippasandra,Bengaluru,KA,560075,IN",7208972772,,https://maps.app.goo.gl/e6ct6hHFFnP9u5M59,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.7,285,12.9733028,77.6446763,
2,Karnataka,Bengaluru,Pressto Drycleaning & Laundry Pvt. Ltd,Indiranagar,"The ICON, Ground Floor, HAL 3rd Stage 80FT road, Indiranagar,,Bengaluru,KA,560075,IN",7208972771,,https://maps.app.goo.gl/T6GgJhrggXK24ksA6,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.9,211,12.9737208,77.6444882,
2,Karnataka,Bengaluru,COBBLER by pressto - Shoes & Bag Care,Koramangala,"Ground Floor, Shop No. 2, Safa Corner, No. 43,,Jaksandra Main Road, 1st Block, Koramangala.,Koramangala,KA,560034,IN",7208972774,,https://maps.app.goo.gl/PotRWsyMUeCrjZU38,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.8,119,12.9292808,77.631814,
3,Maharashtra,Mumbai,Pressto India: Laundry & Dry Cleaning ,Oshiwara,"Shop No. 8/9, Kohinoor Phase 1 Ground Floor, Opp. Millat Nagar, Swami,Samarth,Mumbai,MH,400053,IN",7208972752,,https://maps.app.goo.gl/7ZM2thsJb3hzF1TeA,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,4.3,42,19.1405876,72.8117963,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Bandra,"Shop No, Kenwood Building,89, Doctor Ambedkar Road,Mumbai,MH,400050,IN",7208972748,,https://maps.app.goo.gl/KJ5MZ9C7EBptbnCe6,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.8,52,19.0651839,72.8270555,
3,Maharashtra,Mumbai,Pressto India: Laundry & Dry Cleaning,Jacob Circle,"Mahalaxmi East, Shop No. 1, Ground Floor, Sapphire Tower,,Maulana Azad Road, 400011, near Saat Rasta, Jacob Circle,Mumbai,MH,400011,IN",8828026434,,https://maps.app.goo.gl/rBCcYspSkvExBkaQ6,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,5,2,18.9836691,72.81324,
3,Maharashtra,Mumbai,COBBLER by pressto: Shoe & Bag Care,Nepeansea road,"Ground Floor, Mahtru Ashish Building, 12 A, Nepean Sea Rd,opposite Russian Consulate, Simla Nagar, Malabar Hill, Nepean Sea Rd,,Mumbai,MH,400006,IN",7208972731,,https://maps.app.goo.gl/1gy43TKKVkWMXBqT7,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.6,35,18.9607034,72.7990397,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Nepeansea road,"Mahtru Ashish Building, 16-17, Nepean Sea Rd,,Simla Nagar, Malabar Hill, Nepean Sea Rd,,Mumbai,MH,400006,IN",7208972731,,https://maps.app.goo.gl/UwbhVzVhUaj5J55f6,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.8,32,18.9607304,72.7987767,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Carmicheal,"ML Dhanukar Ln, near Jaslok Hospital And Research Centre,,IT Colony, Cumballa Hill, Carmicheal,,Mumbai,MH,400026,IN",7208972733,,https://maps.app.goo.gl/2B41LV2DLXTT4zBn8,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.9,30,18.9611553,72.7899992,
3,Maharashtra,Mumbai,COBBLER by pressto: Shoe & Bag Care,Prabhadevi,"Mamata, Shop No 35 & 36,Ground floor,,D-wing, Appasaheb Marathe Marg, Prabhadevi,Mumbai,MH,400025,IN",7208972743,,https://maps.app.goo.gl/E8D6jZ1SCbWwPC5U9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.9,83,19.013747,72.8266901,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Prabhadevi,"Shop No. 30 & 31, Mamta Bldg,D Wing, Appa Saheb Marathe Marg, Prabhadevi,Mumbai,MH,400018,IN",7208972743,,https://maps.app.goo.gl/xJQtsvqSHyxxAVf56,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.8,88,19.013747,72.8266901,
1,Delhi NCR,New Delhi,Pressto Drycleaning & Laundry Pvt. Ltd,CR Park,"Ground Floor, K1/136, CR Park Main Rd, Block K 1, Chittaranjan Park, New Delhi, Delhi 110019",7718989028,,https://maps.app.goo.gl/PCi53kb1KCi1qa7T8,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:01,,,4,1,,,
1,Delhi NCR,New Delhi,Pressto Drycleaning & Laundry Pvt. Ltd,Model Town,"H-4/9, Model Town, 2nd Phase, 2nd Main Road, Model Town, Delhi,110009",8433939174,,,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:02,,,,,,,
1,Delhi NCR,New Delhi,Pressto Drycleaning & Laundry Pvt. Ltd,Hauz Khas,"Ground Floor, Shop, 15, Street Number 1, Kaushalya Park, Block R, Kharera, Hauz Khas, New Delhi, Delhi 110016",7718989633,,https://maps.app.goo.gl/UE8cZH6GEU8Ug85n8,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:03,,,4.5,2,,,
2,Karnataka,Bengaluru,Pressto Drycleaning & Laundry Pvt. Ltd,Jayanagar,"Ground Floor, Property No, 722/2, 36th Cross Rd, near Ode Spa, Jayanagar, Bengaluru, Karnataka 560041",8828249231,,https://maps.app.goo.gl/hRrvo6bHi3Z3sXx77,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:04,,,5,8,,,
2,Karnataka,Bengaluru,Pressto Drycleaning & Laundry Pvt. Ltd,Sadashiv Nagar,"Shop No. G-6, Esteem Plaza, 3rd Cross Rd, Sadashiva Nagar, Armane Nagar, Bengaluru, Karnataka 560080",7718933009,,https://maps.app.goo.gl/9EC2yLWP3sxEVXLo9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:05,,,5,1,,,
